ticker,date,open,high,low,close,volume,dividend,split,adj_open,adj_high,adj_low,adj_close,adj_volume
XOM,2022-03-02,80.6,82.15,79.82,80.53,44302751.0,0.0,1.0,73.9103900000297,75.3317436538764,73.1951281613197,73.8461998350173,44302751.0
XOM,2022-03-01,78.77,80.65,78.33,79.17,39962912.0,0.0,1.0,72.2322756861333,73.9562401178957,71.8287946489123,72.5990766290615,39962912.0
XOM,2022-02-28,76.51,78.93,76.2,78.42,32186449.0,0.0,1.0,70.159850358589,72.3789960633045,69.8755796278197,71.9113248610711,32186449.0
XOM,2022-02-25,76.69,77.99,76.26,77.84,28286433.0,0.0,1.0,70.3249107829067,71.5170138474233,69.9305997692589,71.3794634938252,28286433.0
XOM,2022-02-24,79.0,79.03,74.03,75.8,46157730.0,0.0,1.0,72.443186228317,72.4706962990366,67.8856845124342,69.5087786848915,46157730.0
XOM,2022-02-23,76.46,77.47,76.13,76.77,25362486.0,0.0,1.0,70.114000240723,71.0401726216166,69.8113894628072,70.3982709714923,25362486.0
XOM,2022-02-22,79.67,79.79,75.31,76.46,35940996.0,0.0,1.0,73.0575778077217,73.1676180906001,69.0594475298044,70.114000240723,35940996.0
XOM,2022-02-18,77.16,78.17,76.89,77.36,23378207.0,0.0,1.0,70.7559018908473,71.682074271741,70.5083112543708,70.9393023623114,23378207.0
XOM,2022-02-17,78.48,79.12,77.95,78.23,23733357.0,0.0,1.0,71.9663450025103,72.5532265111954,71.4803337531305,71.7370944131802,23733357.0
XOM,2022-02-16,78.79,79.73,78.04,78.35,21688048.0,0.0,1.0,72.2506157332797,73.1125979491609,71.5628639652893,71.8471346960587,21688048.0
XOM,2022-02-15,76.9,78.19,76.42,77.99,25070129.0,0.0,1.0,70.517481277944,71.7004143188874,70.0773201464302,71.5170138474233,25070129.0
XOM,2022-02-14,79.58,79.84,77.05,78.98,34640429.0,0.0,1.0,72.9750475955628,73.2134682084662,70.6550316315421,72.4248461811706,34640429.0
XOM,2022-02-11,78.62,80.32,78.23,80.21,41961414.0,0.0,1.0,72.0947253325352,73.65362933998,71.7370944131802,73.5527590806747,41961414.0
XOM,2022-02-10,78.72,79.68,77.792,78.24,28511254.0,0.0,1.0,72.1864255682672,73.0667478312949,71.3354473806738,71.7462644367534,28511254.0
XOM,2022-02-09,79.58,80.03,78.7051,79.0,40088873.0,0.88,1.0,72.9750475955628,73.3876986563571,72.1727622331432,72.443186228317,40088873.0
XOM,2022-02-08,82.27,82.4962,79.92,80.26,34293937.0,0.0,1.0,74.6106776540265,74.8158184743175,72.4794622354418,72.787808296003,34293937.0
XOM,2022-02-07,81.14,83.08,80.64,82.39,34935129.0,0.0,1.0,73.5858804527496,75.3452667983046,73.132430363689,74.719505675401,34935129.0
XOM,2022-02-04,80.87,82.53,80.87,81.41,32175954.0,0.0,1.0,73.3410174046569,74.846471700338,73.3410174046569,73.8307435008423,32175954.0
XOM,2022-02-03,80.09,80.31,79.02,79.68,28517594.0,0.0,1.0,72.6336352657224,72.8331533049091,71.6632520751328,72.2618061926927,28517594.0
XOM,2022-02-02,80.06,80.81,79.15,80.62,30287582.0,0.0,1.0,72.6064282603788,73.2866033939696,71.7811490982885,73.1142923601266,30287582.0
XOM,2022-01-31,74.97,76.42,74.265,75.96,36064280.0,0.0,1.0,67.9903063537422,69.3053116120178,67.3509417281667,68.8881375300821,36064280.0
XOM,2022-01-28,74.97,75.62,73.95,75.28,30581165.0,0.0,1.0,67.9903063537422,68.5797914695209,67.0652681720586,68.2714454089597,30581165.0
